RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
JA295055,6/6/2017 0:00,1439,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,111,LOOP,3,1,1,,BONA FIDE
JA306421,6/14/2017 0:00,1155,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-ISLAMIC/MUSLIM,North,15,1531,AUSTIN,1,0,,,UNDETERMINED
JA309215,6/16/2017 0:00,825,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2433,EDGEWATER,1,0,,,UNDETERMINED
JA316106,6/21/2017 0:00,700,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,4,421,SOUTH SHORE,1,0,,,UNDETERMINED
JA352264,7/18/2017 0:00,1504,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-BLACK/AFRICAN-AMERICAN,South,7,711,ENGLEWOOD,1,0,,,UNDETERMINED
JA357125,7/21/2017 0:00,2359,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,Central,18,1912,LINCOLN PARK,1,0,,,UNFOUNDED
JA359226,7/24/2017 0:00,1000,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,16,1613,NORWOOD PARK,1,0,,,UNDETERMINED
JA362641,7/26/2017 0:00,1910,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-HISPANIC/LATINO,Central,18,1812,LINCOLN PARK,1,0,,,UNDETERMINED
JA376178,8/3/2017 0:00,2030,560,ASSAULT: SIMPLE, ANTI-ISLAMIC/MUSLIM,Central,8,823,CHICAGO LAWN,1,0,,,UNDETERMINED
JA405738,8/25/2017 0:00,460,460,BATTERY: SIMPLE, ANTI-JEWISH,Central,1,112,LOOP,2,0,,,UNDETERMINED
JA406955,8/25/2017 0:00,1500,5001,OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY, ANTI-JEWISH,North,19,1911,LINCOLN SQUARE,1,0,,,UNDETERMINED
JA421815,9/6/2017 0:00,1800,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-MULTIPLE RACES/GROUP,North,16,1633,DUNNING,1,0,,,UNDETERMINED
JA438770,9/20/2017 0:00,750,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-WHITE,North,11,1112,HUMBOLDT PARK,1,0,,,BONA FIDE
JA442489,9/22/2017 0:00,1844,460,BATTERY: SIMPLE, ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,North,19,1935,LINCOLN PARK,1,0,,,BONA FIDE
JA444034,9/23/2017 0:00,2100,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2031,LINCOLN SQUARE,1,0,,,UNDETERMINED
JA444503,9/23/2017 0:00,2100,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-WHITE,North,20,2031,LINCOLN SQUARE,1,0,,,UNDETERMINED
JA458937,10/5/2017 0:00,700,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1624,PORTAGE PARK,1,0,,,UNDETERMINED
